,rank,conf,imp,score
served year,0.868310256,0.06257175,0,0
sliding,0.85691264,0.099189847,0,0
sliding awning,0.85691264,0.099189847,0,0
sliding awning picture,0.85691264,0.099189847,0,0
sliding awning picture garden,0.85691264,0.099189847,0,0
sliding awning picture garden basement,0.85691264,0.099189847,0,0
style double,0.85691264,0.099189847,0,0
style double hung,0.85691264,0.099189847,0,0
style double hung casement,0.85691264,0.099189847,0,0
style double hung casement bay,0.85691264,0.099189847,0,0
winning,1.319628479,0.295624309,0,0
winning energy efficient,1.319628479,0.295624309,0,0
winning energy efficient free,1.319628479,0.295624309,0,0
winning energy efficient free quote,1.319628479,0.295624309,0,0
zip code,1.685808262,0.269501305,0,0
zip free quote today,2.42841705,0.388401123,0,0
